date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_dbc.us,w_efa.us,w_gld.us,w_hyg.us,w_iau.us,w_ivv.us,w_spy.us,w_tlt.us,w_vnq.us
2006-03-01,0.011009837462738654,0.009009837462738654,0.5,4,True,0.002,0.998,0.0,0.5,0.0,0.0,0.0,0.0,0.30000000000000004,0.15000000000000002,0.0,0.05,0.0
2006-04-01,0.032674813494234456,0.032674813494234456,0.0,0,False,0.0,1.0070528094093982,-0.002369666750520749,0.5,0.0,0.0,0.0,0.0,0.30000000000000004,0.15000000000000002,0.0,0.05,0.0
2006-05-01,-0.01298416761197161,-0.01298416761197161,0.0,0,False,0.0,1.0399580721356951,-0.0016494481890126922,0.5,0.0,0.0,0.0,0.0,0.30000000000000004,0.15000000000000002,0.0,0.05,0.0
2006-06-01,-0.002413175932671569,-0.002413175932671569,0.0,0,False,0.0,1.0264550822176624,-0.04058608341812908,0.5,0.0,0.0,0.0,0.0,0.30000000000000004,0.15000000000000002,0.0,0.05,0.0
2006-07-01,0.009837505935031283,0.009837505935031283,0.0,0,False,0.0,1.0176517903558289,-0.04881440326406661,0.5,0.0,0.0,0.0,0.0,0.30000000000000004,0.15000000000000002,0.0,0.05,0.0
2006-08-01,-0.007086162120424238,-0.0074861621204242385,0.1,3,True,0.0004,1.0272518807048965,-0.03984132646713601,0.5,0.0,0.0,0.0,0.0,0.35000000000000003,0.05,0.0,0.1,0.0
2006-09-01,0.003628350814212822,0.002428350814212822,0.30000000000000004,3,True,0.0012000000000000001,1.0187486402109034,-0.047789192289334204,0.5,0.0,0.0,0.0,0.0,0.05,0.30000000000000004,0.0,0.15000000000000002,0.0
2006-10-01,0.009519886117269139,0.00911988611726914,0.1,2,True,0.0004,1.0241474145997074,-0.04274302965558929,0.5,0.0,0.0,0.0,0.0,0.05,0.2,0.0,0.25,0.0
2006-11-01,0.014090666662613294,0.013290666662613294,0.2,3,True,0.0008,1.0326568355834655,-0.034789387011789574,0.5,0.0,0.0,0.0,0.0,0.1,0.35000000000000003,0.0,0.05,0.0
2006-12-01,-0.007000476573986431,-0.0076004765739864305,0.15000000000000002,2,True,0.0006000000000000001,1.0465793342352432,-0.02177621264935281,0.5,0.0,0.0,0.0,0.0,0.25,0.2,0.0,0.05,0.0
2007-01-01,0.013096913348822082,0.012696913348822083,0.1,2,True,0.0004,1.0352334829861851,-0.03238102894613237,0.5,0.0,0.0,0.0,0.0,0.15000000000000002,0.30000000000000004,0.0,0.05,0.0
2007-02-01,0.003832995520973653,0.003232995520973653,0.15000000000000002,3,True,0.0006000000000000001,1.0477433060724888,-0.02068826365040577,0.5,0.1,0.0,0.0,0.0,0.2,0.15000000000000002,0.0,0.05,0.0
2007-03-01,-0.0005197156001742753,-0.0011197156001742752,0.15,4,True,0.0006,1.0511282458909115,-0.017524405411650235,0.5,0.2,0.0,0.0,0.0,0.15000000000000002,0.05,0.0,0.1,0.0
2007-04-01,0.012013278483550839,0.01161327848355084,0.1,3,True,0.0004,1.0526399680513816,-0.016111418809619193,0.5,0.15000000000000002,0.0,0.0,0.0,0.15000000000000002,0.15000000000000002,0.0,0.05,0.0
2007-05-01,0.017208497874723602,0.015208497874723602,0.49999999999999994,4,True,0.0019999999999999996,1.0627297918586862,-0.00688639400714075,0.0,0.15000000000000002,0.16471199010176354,0.0,0.0,0.15000000000000002,0.15000000000000002,0.2055248293377554,0.05,0.12976318056048097
2007-06-01,-0.017734773655315006,-0.017734773655315006,0.0,0,False,0.0,1.0810177752232921,0.0,0.0,0.15000000000000002,0.16471199010176354,0.0,0.0,0.15000000000000002,0.15000000000000002,0.2055248293377554,0.05,0.12976318056048097
2007-07-01,-0.0280409971586451,-0.0284409971586451,0.1,3,True,0.0004,1.0501355722329206,-0.031178063675255885,0.0,0.2,0.16471199010176354,0.0,0.0,0.05,0.2,0.2055248293377554,0.05,0.12976318056048097
2007-08-01,0.01333596448143484,0.011808581396864148,0.3818457711426734,8,True,0.0015273830845706933,1.018722089048274,-0.060159151841750136,0.0,0.15000000000000002,0.1499729279884341,0.18184577114267336,0.0,0.15000000000000002,0.05,0.16818130086889257,0.15000000000000002,0.0
2007-09-01,0.0616806238898196,0.06095860589896371,0.18050449771397198,7,True,0.0007220179908558878,1.022687828207634,-0.05650048605333158,0.0,0.05,0.1398351268396354,0.2123502688566453,0.0,0.2,0.15000000000000002,0.14781460430371932,0.1,0.0
2007-10-01,0.031972972539020594,0.0315729725390206,0.1,3,True,0.0004,1.0845499140103032,0.0,0.0,0.15000000000000002,0.1398351268396354,0.2123502688566453,0.0,0.2,0.1,0.14781460430371932,0.05,0.0
2007-11-01,-0.003353884854100937,-0.0034664037039457644,0.02812971246120695,3,True,0.00011251884984482778,1.119100264583566,-0.013386407473877426,0.0,0.15000000000000002,0.14670914752834852,0.18422055639543833,0.0,0.2,0.1,0.16907029607621313,0.05,0.0
2007-12-01,0.028849864344082828,0.028449864344082827,0.1,3,True,0.0004,1.1116448285744582,-0.031148656286255072,0.0,0.15000000000000002,0.14670914752834852,0.18422055639543833,0.0,0.15000000000000002,0.05,0.16907029607621313,0.15000000000000002,0.0
2008-01-01,0.006398302436872046,0.005437149446058069,0.24028824770349447,4,True,0.0009611529908139779,1.109779077730577,-0.03277474689151383,0.0,0.15000000000000002,0.12792854447539173,0.13178320782111377,0.0,0.15000000000000002,0.05,0.0,0.39028824770349446,0.0
